fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211119 133642	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	378821	64.1490992717445	0.657155239759595	378821	1	55	3778	0.0316169147983564	6577500	5777500	3778	0.0316169147983564	6577500	5777500	1
20211119 133727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	964333	64.1490992717445	0.657155239759595	964333	2	96	4862	0.0406885758998435	6822500	5922500	3851	0.0322278292452278	6786250	5886250	1
20211119 133814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	187049	64.1490992717445	0.657155239759595	187049	3	95	4662	0.039014837689237	6822500	5622500	4114	0.0344287949921753	6807500	6007500	1
20211119 133905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	205151	64.1490992717445	0.657155239759595	205151	4	136	5264	0.0440527897031625	6970000	5370000	3967	0.0331985974073795	7041250	6091250	1
20211119 134002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	813697	64.1490992717445	0.657155239759595	813697	5	181	4382	0.036671604194388	6772500	5822500	4127	0.0345375879758647	7041250	5891250	1
20211119 134039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	344719	64.1490992717445	0.657155239759595	344719	6	37	4490	0.0375754228281155	6487500	5637500	4317	0.0361276392759408	7103750	6053750	1
20211119 134129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	127217	64.1490992717445	0.657155239759595	127217	7	118	4192	0.0350815528943118	7060000	5510000	4095	0.0342697898621677	7081250	5831250	1
20211119 134206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	464371	64.1490992717445	0.657155239759595	464371	8	40	4117	0.0344539010653344	6653750	5553750	3862	0.0323198848468111	7072500	5872500	1
20211119 134256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	645137	64.1490992717445	0.657155239759595	645137	9	128	3484	0.0291565196287649	7145000	5295000	4077	0.0341191534232131	7203750	5903750	1
20211119 134334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	225	TRUE	0.158717230118345	0.652636210202763	351	402	480803	64.1490992717445	0.657155239759595	480803	10	38	5166	0.0432326579799654	6742500	5542500	4168	0.034880704309039	7140000	5940000	1
20211119 134426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	378821	52.6111114898231	0.539917974270065	378821	1	294	3880	0.0324705212857657	6900000	5750000	3880	0.0324705212857657	6900000	5750000	2
20211119 134514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	964333	52.6111114898231	0.539917974270065	964333	2	270	4645	0.0388725699413355	6693750	5793750	3978	0.0332906530089629	6727500	5877500	2
20211119 134550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	187049	52.6111114898231	0.539917974270065	187049	3	131	4762	0.0398517067945403	6797500	6097500	4666	0.0390483124534492	6717500	6017500	2
20211119 134711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	205151	52.6111114898231	0.539917974270065	205151	4	618	4140	0.0346463809595541	6775000	6125000	4015	0.0336002945779251	6781250	6031250	2
20211119 134810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	813697	52.6111114898231	0.539917974270065	813697	5	380	3848	0.0322027231720687	6990000	5740000	3662	0.0306461466362046	6822500	5822500	2
20211119 134933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	344719	52.6111114898231	0.539917974270065	344719	6	651	4006	0.0335249763584478	6992500	5692500	3690	0.0308804699856895	6937500	5787500	2
20211119 135020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	127217	52.6111114898231	0.539917974270065	127217	7	257	4755	0.039793125957169	7006250	5906250	4136	0.034612906195342	6880000	5880000	2
20211119 135057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	464371	52.6111114898231	0.539917974270065	464371	8	139	5067	0.0424041575657151	6666250	6166250	4232	0.0354163005364331	6860000	5810000	2
20211119 135146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	645137	52.6111114898231	0.539917974270065	645137	9	259	4152	0.0347468052521905	7060000	5960000	4119	0.0344706384474404	6901250	5851250	2
20211119 135241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	480803	52.6111114898231	0.539917974270065	480803	10	311	3809	0.0318763442210004	6838750	5988750	4194	0.0350982902764179	6907500	5907500	2
